id,stockid_i,date1,time1,lnA_B,close_1,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
120,GBPAUDpro,2016.02.12,19:45,2.04484,2.04484,0.792377659809,2.0405683999999997,0.005243164038184677,100,0.0005,0.9,0,0,0,0
121,GBPAUDpro,2016.02.12,19:50,2.04377,2.04377,0.72374825069,2.0406581999999998,0.0052386069510776175,100,0.0005,0.9,0,0,0,0
122,GBPAUDpro,2016.02.12,19:55,2.0443,2.0443,0.752052881287,2.0407688,0.005185589449560564,100,0.0005,0.9,0,0,0,0
123,GBPAUDpro,2016.02.12,20:00,2.04636,2.04636,0.857084994718,2.0408887999999994,0.005126138460396035,100,0.0005,0.9,0,0,0,0
124,GBPAUDpro,2016.02.12,20:05,2.04761,2.04761,0.902229877861,2.0410258999999997,0.005086751279132631,100,0.0005,0.9,1,128,正态交易,0.0007911662865486859
125,GBPAUDpro,2016.02.12,20:10,2.04835,2.04835,0.923243981101,2.0412000999999993,0.005009614895781945,100,0.0005,0.9,0,0,0,0
126,GBPAUDpro,2016.02.12,20:15,2.04901,2.04901,0.938302932099,2.041371099999999,0.0049581280874250394,100,0.0005,0.9,0,0,0,0
127,GBPAUDpro,2016.02.12,20:20,2.04675,2.04675,0.856029887636,2.041560299999999,0.004883729212415647,100,0.0005,0.9,0,0,0,0
128,GBPAUDpro,2016.02.12,20:25,2.04599,2.04599,0.812671660489,2.0416960999999993,0.004836646700249074,100,0.0005,0.9,0,0,0,0
129,GBPAUDpro,2016.02.12,20:30,2.04635,2.04635,0.828043335346,2.0418189999999994,0.004787305920849216,100,0.0005,0.9,0,0,0,0
130,GBPAUDpro,2016.02.12,20:35,2.0475,2.0475,0.879727560818,2.041950399999999,0.004728593427011859,100,0.0005,0.9,0,0,0,0
131,GBPAUDpro,2016.02.12,20:40,2.04671,2.04671,0.837457065272,2.042072199999999,0.004712922612939395,100,0.0005,0.9,0,0,0,0
132,GBPAUDpro,2016.02.12,20:45,2.04783,2.04783,0.885866793966,2.042187999999999,0.004682792916086452,100,0.0005,0.9,1,133,正态交易,0.0006250518841895801
133,GBPAUDpro,2016.02.12,20:50,2.04655,2.04655,0.818028504553,2.042306299999999,0.004674309467718193,100,0.0005,0.9,0,0,0,0
134,GBPAUDpro,2016.02.12,20:55,2.04535,2.04535,0.736271752154,2.042413599999999,0.004646985885300469,100,0.0005,0.9,0,0,0,0
135,GBPAUDpro,2016.02.12,21:00,2.04547,2.04547,0.739781368844,2.0425052999999993,0.004613087542716657,100,0.0005,0.9,0,0,0,0
